TXN001|ACC001|Deposit|670.00|670.00|18-12-2025 12:09:14 PM
TXN002|ACC002|Deposit|12000.00|12000.00|18-12-2025 12:09:37 PM
TXN003|ACC001|Transfer Out|-12.00|658.00|18-12-2025 12:10:00 PM
TXN004|ACC002|Transfer In|12.00|12012.00|18-12-2025 12:10:00 PM
TXN005|ACC001|Deposit|20.00|678.00|18-12-2025 12:17:28 PM
TXN006|ACC002|Transfer Out|-34.00|11978.00|18-12-2025 12:45:04 PM
TXN007|ACC001|Transfer In|34.00|692.00|18-12-2025 12:45:04 PM
TXN008|ACC003|Deposit|1000.00|1000.00|18-12-2025 12:48:37 PM
TXN009|ACC003|Deposit|100.00|1100.00|18-12-2025 12:48:37 PM
TXN010|ACC003|Deposit|100.00|1200.00|18-12-2025 12:48:37 PM
TXN011|ACC003|Withdrawal|-100.00|1100.00|18-12-2025 12:48:37 PM
TXN012|ACC003|Withdrawal|-100.00|1000.00|18-12-2025 12:48:37 PM
TXN013|ACC003|Deposit|100.00|1100.00|18-12-2025 12:48:37 PM
TXN014|ACC003|Withdrawal|-100.00|1000.00|18-12-2025 12:48:37 PM
TXN015|ACC003|Deposit|100.00|1100.00|18-12-2025 12:48:37 PM
TXN016|ACC003|Withdrawal|-100.00|1000.00|18-12-2025 12:48:37 PM
TXN017|ACC003|Deposit|100.00|1100.00|18-12-2025 12:48:37 PM
TXN018|ACC003|Withdrawal|-100.00|1000.00|18-12-2025 12:48:37 PM
TXN019|ACC003|Deposit|100.00|1100.00|18-12-2025 12:48:37 PM
TXN020|ACC003|Withdrawal|-100.00|1000.00|18-12-2025 12:48:37 PM
TXN021|ACC003|Deposit|100.00|1100.00|18-12-2025 12:48:37 PM
TXN022|ACC003|Withdrawal|-100.00|1000.00|18-12-2025 12:48:37 PM
TXN023|ACC003|Deposit|100.00|1100.00|18-12-2025 12:48:37 PM
TXN024|ACC003|Withdrawal|-100.00|1000.00|18-12-2025 12:48:37 PM
TXN025|ACC003|Deposit|100.00|1100.00|18-12-2025 12:48:37 PM
TXN026|ACC003|Withdrawal|-100.00|1000.00|18-12-2025 12:48:37 PM
TXN027|ACC003|Deposit|100.00|1100.00|18-12-2025 12:48:37 PM
TXN028|ACC003|Withdrawal|-100.00|1000.00|18-12-2025 12:48:37 PM
